word,pos,structure,meaning_en,meaning_vi
inexactitude,noun,im-[exact]-itude,the quality of being inaccurate and having errors,"im-(không (biến thể của in- trước b/m/p)) + exact(chính xác) + -itude(trạng thái, tính chất (danh từ))"
exaggeration,noun,[exaggerate]-ion,the act of making something more noticeable than usual,"exaggerate(phóng đại) + -ion(hành động, quá trình, trạng thái (danh từ))"
exaggeratedly,adverb,[exaggerate]-ly,in an exaggerated manner,exaggerate(phóng đại) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
examiner,noun,[examine]-er,an investigator who observes carefully,"examine(kiểm tra, xem xét) + -er(người làm việc gì; so sánh hơn)"
examination,noun,[examine]-ion,"a formal written, spoken or practical test, especially at school or college, to see how much you know about a subject, or what you can do","examine(kiểm tra, xem xét) + -ion(hành động, quá trình, trạng thái (danh từ))"
reexamine,verb,re-[examine],look at again,"re-(lại, làm lại) + examine(kiểm tra, xem xét)"
unexamined,verb,un-[examine],"un-(not, opposite of; reverse an action) + examine(to consider or study an idea, a subject, etc. very carefully)","un-(không, ngược lại (phủ định/đảo nghĩa)) + examine(kiểm tra, xem xét)"
reexamination,noun,re-[examine]-ion,a subsequent examination of a patient for the purpose of monitoring earlier treatment,"re-(lại, làm lại) + examine(kiểm tra, xem xét) + -ion(hành động, quá trình, trạng thái (danh từ))"
exemplar,noun,[example]-ar,something to be imitated,example(ví dụ) + -ar(thuộc về (tính từ); người (danh từ))
exemplify,verb,[example]-ify,clarify by giving an example of,"example(ví dụ) + -ify(làm cho, khiến trở thành (động từ))"
exemplary,adjective,[example]-ar-y,serving to warn,example(ví dụ) + -ar(thuộc về (tính từ); người (danh từ)) + -y(có tính chất; danh từ/tính từ)
exemplification,noun,[example]-ify-ion,a representational or typifying form or model,"example(ví dụ) + -ify(làm cho, khiến trở thành (động từ)) + -ion(hành động, quá trình, trạng thái (danh từ))"
unexampled,adjective,un-[example],having no previous example or precedent or parallel,"un-(không, ngược lại (phủ định/đảo nghĩa)) + example(ví dụ)"
exceedingly,adverb,[exceed]-ly,to an extreme degree,exceed(vượt quá) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
excitedly,adverb,[excite]-ly,with excitement,"excite(kích thích, hào hứng) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
excitable,adjective,[excite]-able,easily excited,"excite(kích thích, hào hứng) + -able(có thể được (tính từ))"
excitatory,adjective,[excite]-ory,(of drugs e.g.) able to excite or stimulate,"excite(kích thích, hào hứng) + -ory(thuộc về, nơi chốn (tính từ/danh từ))"
excitement,noun,[excite]-ment,the state of feeling or showing happiness and enthusiasm,"excite(kích thích, hào hứng) + -ment(kết quả/hành động/trạng thái (danh từ))"
excitability,noun,[excite]-able-ity,being easily excited,"excite(kích thích, hào hứng) + -able(có thể được (tính từ)) + -ity(trạng thái, tính chất (danh từ))"
overexcited,adjective,over-[excite],unduly excited,"over-(trên, quá mức) + excite(kích thích, hào hứng)"
excusable,adjective,[excuse]-able,easily excused or forgiven,"excuse(lời xin lỗi, biện hộ) + -able(có thể được (tính từ))"
excusably,adverb,[excuse]-able-y,in an excusable manner or to an excusable degree,"excuse(lời xin lỗi, biện hộ) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)"
inexcusable,adjective,im-[excuse]-able,not excusable,"im-(không (biến thể của in- trước b/m/p)) + excuse(lời xin lỗi, biện hộ) + -able(có thể được (tính từ))"
inexcusably,adverb,im-[excuse]-able-y,in an unpardonable manner or to an unpardonable degree,"im-(không (biến thể của in- trước b/m/p)) + excuse(lời xin lỗi, biện hộ) + -able(có thể được (tính từ)) + -y(có tính chất; danh từ/tính từ)"
executor,noun,[execute]-or,a person appointed by a testator to carry out the terms of the will,execute(thực thi) + -or(người/vật thực hiện (danh từ))
execution,noun,[execute]-ion,"the act of killing somebody, especially as a legal punishment","execute(thực thi) + -ion(hành động, quá trình, trạng thái (danh từ))"
executive,adjective,[execute]-ive,"connected with managing a business or an organization, and with making plans and decisions","execute(thực thi) + -ive(có xu hướng, có tính chất (tính từ))"
executioner,noun,[execute]-ion-er,an official who inflicts capital punishment in pursuit of a warrant,"execute(thực thi) + -ion(hành động, quá trình, trạng thái (danh từ)) + -er(người làm việc gì; so sánh hơn)"
exertion,noun,[exert]-ion,use of physical or mental energy,"exert(nỗ lực, gây áp lực) + -ion(hành động, quá trình, trạng thái (danh từ))"
existent,adjective,[exist]-ant,presently existing in fact and not merely potential or possible,exist(tồn tại) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))
existence,noun,[exist]-ance,the state or fact of being real or living or of being present,"exist(tồn tại) + -ance(trạng thái, tính chất, hành động (danh từ))"
existential,adjective,[exist]-ance-al,derived from experience or the experience of existence,"exist(tồn tại) + -ance(trạng thái, tính chất, hành động (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ))"
existentialist,adjective,[exist]-ance-al-ist,relating to or involving existentialism,"exist(tồn tại) + -ance(trạng thái, tính chất, hành động (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ist(người theo/thực hành (danh từ))"
existentialism,noun,[exist]-ance-al-ism,a 20th-century philosophical movement chiefly in Europe,"exist(tồn tại) + -ance(trạng thái, tính chất, hành động (danh từ)) + -al(thuộc về (tính từ); hành động (danh từ)) + -ism(niềm tin, học thuyết, tình trạng (danh từ))"
coexist,verb,co-[exist],"to exist together, usually in peace","co-(cùng nhau, chung) + exist(tồn tại)"
coexistent,adjective,co-[exist]-ant,existing at the same time,"co-(cùng nhau, chung) + exist(tồn tại) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))"
coexistence,noun,co-[exist]-ance,existing peacefully together,"co-(cùng nhau, chung) + exist(tồn tại) + -ance(trạng thái, tính chất, hành động (danh từ))"
nonexistent,adjective,non-[exist]-ant,not having existence or being or actuality,non-(không) + exist(tồn tại) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))
expansive,adjective,[expand]-ive,friendly and open and willing to talk,"expand(mở rộng) + -ive(có xu hướng, có tính chất (tính từ))"
expansion,noun,[expand]-ion,"an act of increasing or making something increase in size, amount or importance","expand(mở rộng) + -ion(hành động, quá trình, trạng thái (danh từ))"
expandable,adjective,[expand]-able,(of gases) capable of expansion,expand(mở rộng) + -able(có thể được (tính từ))
expansively,adverb,[expand]-ive-ly,in an ebullient manner,"expand(mở rộng) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
expansionist,adjective,[expand]-ion-ist,of or involving or guided by expansionism,"expand(mở rộng) + -ion(hành động, quá trình, trạng thái (danh từ)) + -ist(người theo/thực hành (danh từ))"
expansiveness,noun,[expand]-ive-ness,a friendly open trait of a talkative person,"expand(mở rộng) + -ive(có xu hướng, có tính chất (tính từ)) + -ness(trạng thái, tính chất (danh từ))"
expectant,adjective,[expect]-ant,in an advanced stage of pregnancy,expect(mong đợi) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ))
expectedly,adverb,[expect]-ly,In conformity with expectation.  Walpole.,expect(mong đợi) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
expectable,adjective,[expect]-able,to be expected,expect(mong đợi) + -able(có thể được (tính từ))
expectance,noun,[expect]-ance,"expect(to think or believe that something will happen or that somebody will do something) + -ance(state, quality, action (noun))","expect(mong đợi) + -ance(trạng thái, tính chất, hành động (danh từ))"
expectation,noun,[expect]-ion,a belief that something will happen because it is likely,"expect(mong đợi) + -ion(hành động, quá trình, trạng thái (danh từ))"
expectancy,noun,[expect]-ance-y,something expected (as on the basis of a norm),"expect(mong đợi) + -ance(trạng thái, tính chất, hành động (danh từ)) + -y(có tính chất; danh từ/tính từ)"
expectantly,adverb,[expect]-ant-ly,in an expectant manner,expect(mong đợi) + -ant(người/vật thực hiện; có tính chất (danh từ/tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
unexpected,adjective,un-[expect],"if something is unexpected, it surprises you because you were not expecting it","un-(không, ngược lại (phủ định/đảo nghĩa)) + expect(mong đợi)"
unexpectedly,adverb,un-[expect]-ly,without advance planning,"un-(không, ngược lại (phủ định/đảo nghĩa)) + expect(mong đợi) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
expensive,adjective,[expense]-ive,costing a lot of money,"expense(chi phí) + -ive(có xu hướng, có tính chất (tính từ))"
expensively,adverb,[expense]-ive-ly,in a costly manner,"expense(chi phí) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
inexpensive,adjective,im-[expense]-ive,relatively low in price or charging low prices,"im-(không (biến thể của in- trước b/m/p)) + expense(chi phí) + -ive(có xu hướng, có tính chất (tính từ))"
inexpensively,adverb,im-[expense]-ive-ly,with little expenditure of money,"im-(không (biến thể của in- trước b/m/p)) + expense(chi phí) + -ive(có xu hướng, có tính chất (tính từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
experiential,adjective,[experience]-al,derived from experience or the experience of existence,experience(kinh nghiệm) + -al(thuộc về (tính từ); hành động (danh từ))
experientially,adverb,[experience]-al-ly,experience(the knowledge and skill that you have gained through doing something for a period of time; the process of gaining this) + -al(relating to (adjective); action (noun)) + -ly(adverb of manner / adjective (like)),experience(kinh nghiệm) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
inexperience,noun,im-[experience],lack of experience and the knowledge and understanding derived from experience,im-(không (biến thể của in- trước b/m/p)) + experience(kinh nghiệm)
experimental,adjective,[experiment]-al,"based on new ideas, forms or methods that are used to find out what effect they have",experiment(thí nghiệm) + -al(thuộc về (tính từ); hành động (danh từ))
experimenter,noun,[experiment]-er,a research worker who conducts experiments,experiment(thí nghiệm) + -er(người làm việc gì; so sánh hơn)
experimentation,noun,[experiment]-ion,the act of conducting a controlled test or investigation,"experiment(thí nghiệm) + -ion(hành động, quá trình, trạng thái (danh từ))"
experimentally,adverb,[experiment]-al-ly,in an experimental fashion,experiment(thí nghiệm) + -al(thuộc về (tính từ); hành động (danh từ)) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
