root_word,meaning_en,meaning_vi
idea,"a plan, thought or suggestion, especially about what to do in a particular situation",ý tưởng
ideal,perfect; most suitable,lý tưởng
idiot,a rude way to refer to somebody who you think is very stupid,kẻ ngốc
ignore,to pay no attention to something,phớt lờ
ill,suffering from an illness or disease; not feeling well,ốm đau
illustrate,"to use pictures, photographs, diagrams, etc. in a book, etc.",minh họa
image,"a picture, photograph or statue that represents somebody/something",hình ảnh
imagine,to form a picture in your mind of what something might be like,tưởng tượng
immediate,happening or done without delay,ngay lập tức
immense,extremely large or great,to lớn
immune,that cannot catch or be affected by a particular disease or illness,miễn dịch
improve,to become better than before; to make something/somebody better than before,cải thiện
in,"into an object, an area or a substance","trong, vào"
incentive,something that encourages you to do something,động lực khuyến khích
incur,"if you incur something unpleasant, you are in a situation in which you have to deal with it",gánh chịu
index,"a list of names or topics that are referred to in a book, etc., usually arranged at the end of a book in alphabetical order or listed in a separate file or book",chỉ số
indicate,to show that something is true or exists,chỉ ra
indigenous,"coming from a particular place and having lived there for a long time before other people came there; relating to, belonging to or developed by these people",bản địa
indulge,"to allow yourself to have or do something that you like, especially something that is considered bad for you",nuông chiều
industry,"the production of goods from raw materials, especially in factories",ngành công nghiệp
infant,a baby or very young child,trẻ sơ sinh
infer,to reach an opinion or decide that something is true on the basis of information that is available,suy luận
inform,"to tell somebody about something, especially in an official way",thông báo
injure,"to harm yourself or somebody else physically, especially in an accident",làm bị thương
ink,"coloured liquid for writing, drawing and printing",mực
insect,"any small creature with six legs and a body divided into three parts. Insects usually also have wings. Ants, bees and flies are all insects.",côn trùng
insert,to put something into something else or between two things,chèn vào
instance,a particular example or case of something,trường hợp cụ thể
instant,happening immediately,tức thì
instinct,a natural quality that makes people and animals tend to behave in a particular way using the knowledge and abilities that they were born with rather than thought or training,bản năng
instrument,"an object used for producing musical sounds, for example a piano or a drum","công cụ, nhạc cụ"
insult,a remark or an action that is said or done in order to offend somebody,sỉ nhục
intense,very great; very strong,mãnh liệt
interest,the feeling that you have when you want to know or learn more about somebody/something,"sở thích, lãi suất"
intermediate,"located between two places, things, states, etc.",trung cấp
interpret,to explain the meaning of something,diễn giải
interview,"a formal meeting at which somebody is asked questions to see if they are suitable for a particular job, or for a course of study at a college, university, etc.",phỏng vấn
intrigue,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),"âm mưu, hấp dẫn"
invade,"to enter a country, town, etc. using military force in order to take control of it",xâm lược
investigate,"to carefully examine the facts of a situation, an event, a crime, etc. to find out the truth about it or how it happened",điều tra
invite,to ask somebody to come to a social event,mời
invoke,"to mention or use a law, rule, etc. as a reason for doing something",viện dẫn
iron,a chemical element. Iron is a hard strong metal that is used to make steel and is also found in small quantities in blood and food.,"sắt, bàn ủi"
