word,pos,meaning_en,meaning_vi
gayer,noun,sexually attracted to people of the same sex | person who does; comparative,sexually attracted to people of the same sex | người thực hiện; so sánh hơn
gayest,adjective,sexually attracted to people of the same sex | superlative,sexually attracted to people of the same sex | so sánh nhất
gentler,noun,calm and kind; doing things in a quiet and careful way | person who does; comparative,calm and kind; doing things in a quiet and careful way | người thực hiện; so sánh hơn
gentlest,adjective,calm and kind; doing things in a quiet and careful way | superlative,calm and kind; doing things in a quiet and careful way | so sánh nhất
girlie,adjective,a female child | having quality of; noun/adjective,a nữ child | cóĩ·· tính chất của; danh từ/t tính từ
girlie,noun,an informal term for a girl or young woman,cách gọi thân mật chỉ một cô gái hoặc phụ nữ trẻ
giveth,noun,"to hand something to somebody so that they can look at it, use it or keep it for a time | ordinal number / state (noun, VD: eighth, warmth","to hand something to somebody so that they can look at it, use it or keep it for a time | ordinal number / state (danh từ, VD: eighth, warmth"
gladdest,adjective,pleased; happy | superlative,pleased; happy | so sánh nhất
glassier,noun,"a hard, usually clear, substance used, for example, for making windows and bottles | having quality of; noun/adjective | person who does; comparative","a hard, usually clear, substance used, for example, for making windows and bottles | cóĩ·· tính chất của; danh từ/t tính từ | người thực hiện; so sánh hơn"
glassiest,adjective,"a hard, usually clear, substance used, for example, for making windows and bottles | having quality of; noun/adjective | superlative","a hard, usually clear, substance used, for example, for making windows and bottles | cóĩ·· tính chất của; danh từ/t tính từ | so sánh nhất"
godfearing,noun,the being or spirit that is worshipped and is believed to have created the universe + the bad feeling that you have when you are in danger or when a particular thing frightens you,the being or spirit that is worshipped and is believed to have created the universe + the bad feeling that you have when you are in danger or when a particular thing frightens you
godhead,noun,"the being or spirit that is worshipped and is believed to have created the universe + the part of the body on top of the neck containing the eyes, nose, mouth and brain","the being or spirit that is worshipped and is believed to have created the universe + the part of the body on top of the neck containing the eyes, nose, mouth and brain"
godlessly,adverb,the being or spirit that is worshipped and is believed to have created the universe | without (adjective | adverb of manner / adjective (like,the being or spirit that is worshipped and is believed to have created the universe | khong có (t tính từ | trạng từ chỉ cách thức / t tính từ (like
godlier,noun,the being or spirit that is worshipped and is believed to have created the universe | adverb of manner / adjective (like | person who does; comparative,the being or spirit that is worshipped and is believed to have created the universe | trạng từ chỉ cách thức / t tính từ (like | người thực hiện; so sánh hơn
godliest,adjective,the being or spirit that is worshipped and is believed to have created the universe | adverb of manner / adjective (like | superlative,the being or spirit that is worshipped and is believed to have created the universe | trạng từ chỉ cách thức / t tính từ (like | so sánh nhất
godowns,noun,a person’s turn to move or play in a game or an activity + to or at a lower place or position,a person’s turn to move or play in a game or an activity + to or at a lower place or position
godwin,noun,"god (VD: Godwin, but likely name fragment here | a victory in a game, contest, etc.","god (VD: Godwin, but likely name fragment here | a victory in a game, contest, etc."
