root,pos,nghia_en,nghia_vi,la_goc_rang_buoc,bien_the,nguon_phan_loai
instrument,noun,"a tool or implement, especially for precise work","công cụ, dụng cụ",không,,Root gốc
hour,noun,a period of time equal to sixty minutes,giờ,không,,Root gốc
how,adverb,in what way or manner,"như thế nào, bằng cách nào",không,,Root gốc
pen,noun,an instrument for writing with ink; also a small enclosure for animals,"cây bút; chuồng, cũi nhỏ nhốt vật nuôi",không,,Root gốc
character,noun,the mental and moral qualities distinctive to an individual,"tính cách, đặc điểm",không,,Root gốc
cell,noun,the smallest structural unit of an organism; a small enclosed room,tế bào; phòng giam nhỏ,không,,Root gốc
stretch,verb,to make or become longer or wider without breaking,"kéo dài, giãn ra",không,,Root gốc
patron,noun,a person who gives support to a person or cause; a regular customer,"người bảo trợ, khách hàng thân thiết",không,,Root gốc
invite,verb,to politely ask someone to go somewhere or do something,mời,không,,Root gốc
consequence,noun,a result or effect of an action,"hậu quả, kết quả",không,,Root gốc
spell,verb,to write or name the letters that form a word in order,"đánh vần, viết đúng chính tả",không,,Root gốc
curious,adjective,eager to know or learn something,tò mò,không,,Root gốc
cruel,adjective,willfully causing pain or suffering to others,"tàn nhẫn, độc ác",không,,Root gốc
crystal,noun,a solid substance with a regular geometric structure,tinh thể,không,,Root gốc
contend,verb,to struggle to overcome a difficulty; to assert in argument,"tranh đấu, khẳng định",không,,Root gốc
comply,verb,"to act in accordance with a wish, rule, or demand","tuân thủ, tuân theo",không,,Root gốc
commerce,noun,the activity of buying and selling goods,thương mại,không,,Root gốc
commit,verb,to carry out an act; to pledge oneself to a course of action,"cam kết, thực hiện (hành vi)",không,,Root gốc
hunt,verb,to pursue and kill wild animals for food or sport,săn bắt,không,,Root gốc
coach,noun,a bus for long journeys; a person who trains others,"xe khách, huấn luyện viên",không,,Root gốc
chop,verb,to cut into pieces with a heavy downward blow,"chặt, băm",không,,Root gốc
church,noun,a building used for public Christian worship,nhà thờ,không,,Root gốc
ton,noun,a unit of weight,tấn (đơn vị trọng lượng),không,,Root gốc
ready,adjective,fully prepared for an action or situation,sẵn sàng,không,,Root gốc
rage,noun,"violent, uncontrollable anger","cơn thịnh nộ, giận dữ",không,,Root gốc
drum,noun,a percussion instrument struck with sticks or hands,trống,không,,Root gốc
title,noun,the name of a book or work; a rank or designation,"tiêu đề, danh hiệu",không,,Root gốc
tidy,adjective,arranged neatly and in order,"gọn gàng, ngăn nắp",không,,Root gốc
luxury,noun,great comfort and extravagant living,"sự xa hoa, sang trọng",không,,Root gốc
trend,noun,a general direction in which something develops,xu hướng,không,,Root gốc
honest,adjective,free of deceit; truthful and sincere,"trung thực, thật thà",không,,Root gốc
stance,noun,a way of standing; a way of thinking about something,"tư thế đứng, lập trường, quan điểm",không,,Root gốc
solo,noun,"done alone, without others; a piece performed by one person","một mình, đơn lẻ; (biểu diễn) đơn ca, độc tấu",không,,Root gốc
advantage,noun,a condition that puts one in a favorable position,lợi thế,không,,Root gốc
add,verb,to combine a number or amount with another to increase it,"cộng, thêm vào",không,,Root gốc
weed,noun,a wild plant growing where it is not wanted,cỏ dại,không,,Root gốc
wine,noun,an alcoholic drink made from fermented grapes,rượu vang,không,,Root gốc
fail,verb,to be unsuccessful in achieving a goal,thất bại,không,,Root gốc
every,determiner,used to refer to all individual members of a set without exception,"mỗi, mọi",không,,Root gốc
ritual,noun,a series of actions performed according to a prescribed order,"nghi lễ, nghi thức",không,,Root gốc
river,noun,a large natural stream of water flowing to the sea,sông,không,,Root gốc
admire,verb,to regard with respect or warm approval,ngưỡng mộ,không,,Root gốc
bat,noun,a nocturnal flying mammal; also a club used to hit a ball in sports,con dơi; gậy đánh bóng (thể thao),không,,chưa chắc chắn - cần rà tay
balance,noun,an even distribution of weight; a state of stability,sự cân bằng,không,,Root gốc
rid,verb,to free a person or place from something unwanted,"loại bỏ, giải thoát khỏi (điều không mong muốn)",không,,chưa chắc chắn - cần rà tay
retrieve,verb,to get or bring something back,"lấy lại, thu hồi, truy xuất",không,,Root gốc
fantasy,noun,the imagining of impossible or improbable things,"trí tưởng tượng, thế giới huyễn tưởng",không,,Root gốc
ugly,adjective,unpleasant or repulsive in appearance,xấu xí,không,,Root gốc
mass,noun,a large body of matter with no definite shape,"khối lượng, khối, đám đông",không,,Root gốc
modest,adjective,unassuming about one's abilities or achievements,khiêm tốn,không,,Root gốc
minute,adjective,extremely small; very precise and detailed,"vô cùng nhỏ bé, tỉ mỉ",không,,Root gốc
reserve,verb,to arrange for something to be kept for a particular person or purpose,"để dành, dự trữ, đặt trước",không,,Root gốc
remedy,noun,"a treatment for a disease, or a means of correcting a problem","phương thuốc, biện pháp khắc phục",không,,Root gốc
example,noun,a thing that illustrates a general rule or type,ví dụ,không,,Root gốc
year,noun,the time a planet takes to orbit the sun once,năm,không,,Root gốc
establish,verb,to set up an organization or system on a permanent basis,"thành lập, thiết lập",không,,Root gốc
answer,verb,to give a spoken or written response to a question,trả lời,không,,Root gốc
amuse,verb,to cause someone to find something funny; to entertain,"làm cho vui, giải trí",không,,Root gốc
win,verb,to be successful or victorious in a contest,"chiến thắng, giành được",không,,Root gốc
after,preposition,following in time or place,"sau, sau khi",không,,Root gốc
achieve,verb,to successfully bring about a desired result,đạt được,không,,Root gốc
acid,noun,a chemical substance that neutralizes alkalis and has a sour taste,axit,không,,Root gốc
yellow,adjective,of the color between green and orange,màu vàng,không,,Root gốc
riot,noun,a violent public disturbance by a crowd,bạo loạn,không,,Root gốc
rise,verb,to move from a lower position to a higher one,"tăng lên, dâng lên, mọc lên",không,,Root gốc
rich,adjective,having a great deal of money or assets,giàu có,không,,Root gốc
true,adjective,in accordance with fact or reality,"đúng, thật",không,,Root gốc
bake,verb,"to cook food by dry heat, typically in an oven",nướng (bánh),không,,Root gốc
auto,,"self, by oneself (Greek combining form autos)","tự, bản thân, chính mình",có,,Root gốc
alter,verb,"to change something, typically in a small but significant way",thay đổi,không,,Root gốc
amateur,noun,"a person who engages in a pursuit without pay, not as a profession",người nghiệp dư,không,,Root gốc
allow,verb,to give permission for something to happen,cho phép,không,,Root gốc
wait,verb,to stay in place until a particular time or event,chờ đợi,không,,Root gốc
virtue,noun,behavior showing high moral standards,"đức hạnh, đức tính tốt",không,,Root gốc
volume,noun,"a book; also the amount of space a substance occupies, or loudness",tập sách; thể tích; âm lượng,không,,Root gốc
ash,noun,the powdery residue left after something has burned,tro,không,,Root gốc
architect,noun,a person who designs buildings,kiến trúc sư,không,,Root gốc
marriage,noun,the formally recognized union of two people as partners,hôn nhân,không,,Root gốc
marry,verb,to take someone as one's husband or wife,kết hôn,không,,Root gốc
what,pronoun,asking for information specifying something,"cái gì, điều gì",không,,Root gốc
start,verb,to begin doing or happening,bắt đầu,không,,Root gốc
spin,verb,to turn or cause to turn quickly around,"quay, xoay tròn",không,,Root gốc
convey,verb,to transport something; to communicate an idea or feeling,"truyền đạt, chuyên chở",không,,Root gốc
constant,adjective,occurring continuously; not changing,"liên tục, không đổi",không,,Root gốc
consult,verb,to seek information or advice from someone with expertise,"tham khảo, hỏi ý kiến",không,,Root gốc
contempt,noun,the feeling that something is worthless or deserving scorn,sự khinh miệt,không,,Root gốc
plain,adjective,not decorated or complicated; simple and clear,"đơn giản, giản dị, rõ ràng",không,,Root gốc
immune,adjective,protected against a particular disease or harmful influence,"miễn dịch, được miễn trừ",không,,Root gốc
coal,noun,a hard black rock used as fuel,than đá,không,,Root gốc
clock,noun,a device that shows or measures time,đồng hồ,không,,Root gốc
clever,adjective,quick to understand and learn; skillful,"thông minh, khôn khéo",không,,Root gốc
complain,verb,to express dissatisfaction or annoyance about something,"phàn nàn, than phiền",không,,Root gốc
compute,verb,to calculate or work out by mathematics,tính toán,không,,Root gốc
compensate,verb,to give something as recompense for loss or harm,"bồi thường, đền bù",không,,Root gốc
command,verb,to give an authoritative order; to be in charge of,"ra lệnh, chỉ huy",không,,Root gốc
hurt,verb,to cause physical or emotional pain to someone,"làm đau, gây tổn thương",không,,Root gốc
huge,adjective,"extremely large in size, amount, or degree","khổng lồ, to lớn",không,,Root gốc
perform,verb,to carry out an action or task; to present entertainment to an audience,thực hiện; biểu diễn,không,,Root gốc
